cycle	ts	slice	gate	gates_passed	kept	proof
15	2026-07-24	launcher + serve --open	v1	5	yes	Scaena.command double-click launcher; serve --open auto-opens the browser; verified serve --open binds + GET / -> 200
16	2026-07-24	mock-render fallback (tokens + text)	v0.6	5	yes	scaena mock renders a Spocken-styled screen (amber header + spine-coloured cards + text via ab_glyph/system font); visually verified text renders; caught+fixed --header value leaking into card titles (4 cards->3)
17	2026-07-24	mock tool in MCP (11 tools)	v0.6+	5	yes	MCP mock tool renders a branded screen from header+titles, returns image inline; verified over piped session (11 tools). Agents can render mocks when the app cant run
18	2026-07-24	scaena doctor (env self-check)	v1	5	yes	scaena doctor checks adb/devices/simctl/mock-font/PATH; live run shows adb ok, 1 device ready, simctl absent flagged, font ok
19	2026-07-24	flow --dry + example flows	v1	5	yes	flow --dry parses+prints steps without a device; validated example-settings.flow (6 steps) and example-deeplink.flow. Authoring/CI-friendly
20	2026-07-24	mock in browser (/api/mock)	v1	5	yes	scaena serve /api/mock?header&titles=a|b|c renders a branded mock PNG over localhost (HTTP 200). All three consumers (CLI/MCP/web) now cover the full feature set
21	2026-07-24	clippy clean + CI workflow	v1	5	yes	cargo clippy --all-targets = 0 warnings (auto-fixed 2 in scaena-mcp); tests pass; added .github/workflows/scaena-ci.yml (cargo test + clippy -D warnings, hermetic unit tests). YAML valid
22	2026-07-24	fix css parser bug caught by CI	tokens	5	yes	CI (ubuntu) caught css_vars FAILED that my local grep masked; from_css now splits on {/} so `:root{ --accent` parses; full cargo test = 16 passed 0 failed. Re-run CI to confirm green
23	2026-07-24	flow --frame (store-ready in one pass)	v1	5	yes	scaena flow --frame wraps each capture in a device frame in place; live flow --frame -> framed 1200x2520 capture; 16 tests pass 0 failed
24	2026-07-24	dogfood: README demo via scaena itself	v1	5	yes	docs/demo.png built entirely by scaena mock+frame+contact (synthetic, no personal data); referenced in README. Proves the full pipeline in one artifact
25	2026-07-24	snapshot --full closes G3 (session-replay)	G3	6	yes	snapshot --full captured shared_prefs/com.google.firebase.auth.api.Store (the session) + files + databases (14KB); restore proven cycle 4 -> session-replay closes G3. Destructive full wipe+restore NOT run on Mades LIVE app; personal tar never committed. GATES 6/6
26	2026-07-24	session-replay via MCP (snapshot full)	G3+	6	yes	MCP snapshot full=true -> 14336B tar containing firebase.auth.api.Store (verified via piped session; tar to /tmp not committed). cargo check green. Full test suite unchanged from green cycle-25; CI will confirm
27	2026-07-31	session-replay as a flow verb (restore/snapshot)	G3+	6	yes	flow DSL gains restore <pkg> <tar> + snapshot <pkg> <out>; the differentiator is now one reproducible flow file (flows/session-replay.flow). Proof: 17/17 core tests pass (incl new parses_session_replay_verbs), flow --dry parses all 5 steps, clippy -D warnings clean
28	2026-07-31	session-replay flow verified LIVE on device + CLI snapshot positional out	G3+	6	yes	Ran flows/session-replay pattern on emulator-5554: restore signed-in tar -> launch -> capture behind-the-wall.png (1080x2400, grayscale mean=0.58 stddev=0.165 min=0.013 max=1 = real rendered UI, NOT a black frame). Never authenticated. CLI snapshot now takes a positional <out> matching restore + the flow verb (was --out only, a footgun). Personal tar+png kept in /tmp, never committed. clippy -D warnings clean
29	2026-07-31	README documents session-replay flow verbs + repo-wide em-dash purge	docs	6	yes	README Flows DSL now lists restore/snapshot verbs; Session-replay section shows the one-flow form (flows/session-replay.flow) with the firebase auth-store detail + the live-verified note; snapshot example uses --full. Purged all em-dash from scaena (11 occurrences across README, flow.rs, serve/main/mcp/render/mock, 2 flow files incl 1 user-facing CLI println) per the hard global ban. clippy -D warnings clean on 3 crates; 4/4 flow tests green (edits are comments/strings/docs only)
